City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,bonthe,7.5264,-12.505,25.55,92,4,1.7,SL,1708230314
149,ola,59.5833,151.2833,-19.45,58,100,1.0,RU,1708230314
150,osorio,-29.8867,-50.2697,21.85,95,32,2.6,BR,1708230199
151,taulaga,-11.0553,-171.0883,26.92,88,99,8.34,AS,1708230315
152,atafu village,-8.5421,-172.5159,27.47,85,100,7.1,TK,1708230316
153,priladozhskiy,59.85,31.4833,-6.25,88,100,5.42,RU,1708230316
154,talcahuano,-36.7167,-73.1167,14.82,72,0,4.63,CL,1708230317
155,myeik,12.4333,98.6,30.0,62,96,0.62,MM,1708230317
156,chandur bazar,21.2417,77.7456,28.02,25,3,2.39,IN,1708230318
157,avarua,-21.2078,-159.775,27.03,69,40,4.12,CK,1708230318
158,la fria,8.2203,-72.2439,30.06,57,64,1.65,VE,1708230319
159,ploneour-lanvern,47.9,-4.2833,12.18,100,100,5.66,FR,1708230319
160,christchurch,-43.5333,172.6333,23.04,68,26,8.23,NZ,1708230034
161,jianshui,23.6363,102.8264,22.85,18,0,6.22,CN,1708230320
162,jinxiang,27.4327,120.6062,16.83,81,100,4.45,CN,1708230320
163,yeppoon,-23.1333,150.7333,30.88,62,57,6.88,AU,1708230321
164,yemetsk,63.4721,41.7941,-7.78,89,100,3.88,RU,1708230321
165,salinopolis,-0.6136,-47.3561,25.94,89,69,4.21,BR,1708230134
166,palmerston north,-40.35,175.6167,25.58,65,85,3.13,NZ,1708230322
167,turpan,42.9333,89.1667,-5.33,27,0,1.37,CN,1708230322
168,enkoping,59.6361,17.0777,-4.98,87,5,1.89,SE,1708230323
169,puerto deseado,-47.7503,-65.8938,14.83,58,42,2.78,AR,1708230323
170,island harbour,50.724,-1.2758,11.37,95,100,4.02,GB,1708230324
171,bereeda,11.8704,51.0579,24.78,70,43,0.75,SO,1708230324
172,hammamet,36.4,10.6167,14.92,91,66,3.52,TN,1708230325
173,fort mcmurray,56.7268,-111.381,-4.23,54,0,4.12,CA,1708230098
174,nizhnegorskiy,45.4479,34.7384,2.64,88,100,1.84,UA,1708230326
175,andergrove,-21.0833,149.1833,31.47,66,98,7.94,AU,1708230331
176,siwa oasis,29.2041,25.5195,11.79,75,62,3.88,EG,1708230332
177,kailua-kona,19.6406,-155.9956,26.98,70,75,6.69,US,1708230332
178,andalgala,-27.5819,-66.3165,22.18,66,79,0.69,AR,1708230333
179,gadzhiyevo,69.2551,33.3362,-0.94,68,100,14.24,RU,1708230333
180,afaahiti,-17.75,-149.2833,28.93,81,95,8.2,PF,1708230334
181,castelo do piaui,-5.3222,-41.5525,23.04,93,18,1.15,BR,1708230334
182,nova xavantina,-14.6667,-52.35,23.38,94,97,1.02,BR,1708230334
183,figuig (centre),32.1089,-1.2286,9.83,66,45,5.03,MA,1708230335
184,energetik,51.7445,58.7934,-21.21,91,100,1.25,RU,1708230335
185,mil'kovo,55.6078,37.7956,-0.73,97,100,5.27,RU,1708230336
186,geraldton,-28.7667,114.6,48.23,7,32,10.29,AU,1708230336
187,ust-nera,64.5667,143.2,-34.78,93,70,0.31,RU,1708230337
188,ishikawa,26.4233,127.8214,24.18,66,20,7.2,JP,1708230337
189,chonchi,-42.6128,-73.8092,10.62,90,95,1.46,CL,1708230338
190,tofol,5.3248,163.0078,28.12,75,55,4.19,FM,1708230338
191,hamilton,39.1834,-84.5333,-6.65,66,0,4.47,US,1708230339
192,owensboro,37.7742,-87.1133,-6.97,73,0,2.06,US,1708230301
193,madinat ash shamal,26.1293,51.2009,19.32,64,0,11.86,QA,1708230340
194,wickenburg,33.9686,-112.7296,13.02,49,2,1.17,US,1708230341
195,ghatanji,20.1333,78.3167,29.26,19,0,3.88,IN,1708230341
196,weno,7.4515,151.8468,27.68,80,22,9.44,FM,1708230342
197,chiredzi,-21.05,31.6667,20.8,93,0,2.45,ZW,1708230342
198,north bend,43.4065,-124.2243,11.07,100,100,0.0,US,1708230303
199,dordrecht,51.81,4.6736,10.57,87,100,2.68,NL,1708230343
200,la ronge,55.1001,-105.2842,-6.86,68,0,2.06,CA,1708230344
201,bubaque,11.2833,-15.8333,25.98,79,1,5.28,GW,1708230344
202,barranca,-10.75,-77.7667,24.16,81,100,2.44,PE,1708230345
203,luderitz,-26.6481,15.1594,15.34,76,1,4.88,NA,1708230345
204,kapa'a,22.0752,-159.319,22.99,62,75,8.75,US,1708230346
205,tolanaro,-25.0319,46.9987,26.04,83,75,9.26,MG,1708230346
206,manakara,-22.1333,48.0167,24.76,86,100,5.33,MG,1708230347
207,khandyga,62.6667,135.6,-26.16,92,100,1.65,RU,1708230347
208,puerto baquerizo moreno,-0.9,-89.6,26.83,83,68,2.56,EC,1708230347
209,oued el abtal,35.456,0.6878,11.18,92,81,1.94,DZ,1708230348
210,ilebo,-4.3167,20.5833,21.67,99,100,0.49,CD,1708230348
211,woolgoolga,-30.1106,153.2007,30.02,60,15,3.92,AU,1708230349
212,rikaze,29.25,88.8833,2.71,34,6,0.89,CN,1708230349
213,eno,62.8051,30.1542,-5.84,89,100,5.91,FI,1708230349
214,ocotal,13.6321,-86.4752,23.37,75,58,1.03,NI,1708230350
215,mount isa,-20.7333,139.5,30.87,66,75,4.63,AU,1708230350
216,ambovombe,-25.1667,46.0833,24.28,83,57,8.97,MG,1708230351
217,minas de marcona,-15.2119,-75.1103,19.3,82,100,4.5,PE,1708230351
218,mountain home,43.133,-115.6912,4.71,38,75,8.75,US,1708230351
219,bryan,30.6744,-96.37,4.35,65,0,4.47,US,1708230352
220,vadso,70.0744,29.7487,-2.51,80,20,12.35,NO,1708230352
221,soure,-0.7167,-48.5233,25.97,88,92,3.06,BR,1708230353
222,kavaratti,10.5669,72.642,27.86,73,86,2.56,IN,1708230353
223,carnarvon,-24.8667,113.6333,39.31,26,0,7.43,AU,1708230354
224,george town,5.4112,100.3354,32.19,72,40,2.06,MY,1708230229
225,westport,41.1415,-73.3579,-2.36,56,0,4.63,US,1708230339
226,sorong,-0.8833,131.25,28.89,74,90,4.99,ID,1708230355
227,tarawa,1.419,172.984,31.05,74,75,4.12,KI,1708230355
228,derecske,47.35,21.5667,6.05,93,88,2.06,HU,1708230356
229,alakurtti,66.9672,30.3491,-5.98,80,99,7.32,RU,1708230356
230,st. john's,47.5649,-52.7093,-1.85,90,100,4.63,CA,1708230356
231,severomorsk,69.0689,33.4162,-2.78,72,100,12.22,RU,1708230357
232,muisne,0.6,-80.0333,25.45,94,100,2.13,EC,1708230357
233,klaksvik,62.2266,-6.589,6.51,98,100,3.02,FO,1708230358
234,mahina,-17.5065,-149.489,29.87,74,75,3.6,PF,1708230359
235,recreo,-29.2818,-65.061,27.49,47,55,5.37,AR,1708230359
236,sahiwal,30.6667,73.1,20.59,16,100,4.75,PK,1708230359
237,arroyo seco,-33.1549,-60.5086,22.4,10,9,2.08,AR,1708230360
238,pathein,16.7833,94.7333,30.66,27,0,6.16,MM,1708230360
239,chimoio,-19.1164,33.4833,21.92,100,75,1.56,MZ,1708230361
240,namibe,-15.1961,12.1522,24.49,88,84,1.97,AO,1708230361
241,maceio,-9.6658,-35.7353,26.69,100,20,1.03,BR,1708230361
242,tchintabaraden,15.8969,5.7985,17.41,19,3,5.1,NE,1708230362
243,berdigestyakh,62.0989,126.6992,-30.36,89,100,3.69,RU,1708230362
244,malango,-2.9627,119.9001,22.24,94,100,0.49,ID,1708230363
245,bechar,31.6167,-2.2167,9.18,53,0,1.54,DZ,1708230363
246,vila do maio,15.1333,-23.2167,22.44,81,1,8.02,CV,1708230364
247,buka,40.8108,69.1986,1.4,93,100,1.84,UZ,1708230364
248,tarnogskiy gorodok,60.4997,43.5761,-6.14,94,100,5.45,RU,1708230365
249,wewak,-3.5534,143.6268,29.06,80,45,3.14,PG,1708230365
250,taos,36.4072,-105.5731,-1.52,74,0,3.13,US,1708230366
251,port augusta,-32.5,137.7667,36.52,16,2,5.66,AU,1708230104
252,greymouth,-42.4667,171.2,17.62,65,0,3.39,NZ,1708230367
253,tocopilla,-22.092,-70.1979,21.53,83,61,0.47,CL,1708230367
254,chateaubourg,48.1112,-1.4002,10.84,89,100,5.49,FR,1708230368
255,sitka,57.0531,-135.33,9.94,53,100,5.14,US,1708230368
256,changling,44.2653,124.0005,4.28,87,100,6.91,CN,1708230369
257,queenstown,-31.8976,26.8753,8.05,96,33,0.64,ZA,1708230369
258,huarmey,-10.0681,-78.1522,24.17,85,99,2.66,PE,1708230370
259,tura,25.5198,90.2201,24.15,24,3,2.09,IN,1708230370
260,fada,9.5667,8.3,20.47,21,100,2.23,NG,1708230371
261,ballina,-28.8667,153.5667,28.77,60,26,4.15,AU,1708230371
262,coquimbo,-29.9533,-71.3436,16.85,94,0,2.06,CL,1708230196
263,hadibu,12.65,54.0333,24.27,60,45,2.73,YE,1708230372
264,dampit,-8.2116,112.7493,29.55,62,86,2.67,ID,1708230372
265,mukalla,14.5425,49.1242,23.68,74,19,1.09,YE,1708230373
266,ribeira grande,38.5167,-28.7,14.87,95,100,1.79,PT,1708230373
267,colonia,50.9333,6.95,9.92,84,0,2.57,DE,1708230114
268,pangody,65.85,74.4859,-26.1,87,83,5.03,RU,1708230375
269,hidalgo,20.5,-99.0,7.66,93,98,3.02,MX,1708230375
270,rongelap,11.1635,166.8941,26.55,78,21,7.86,MH,1708230376
271,sidi bennour,32.6524,-8.4277,10.78,90,3,4.43,MA,1708230376
272,fort bragg,35.139,-79.006,6.01,46,99,2.24,US,1708230376
273,alampur,15.8833,78.15,28.02,24,3,4.92,IN,1708230377
274,marquette,46.5333,-87.6335,-6.09,73,96,3.13,US,1708230377
275,athni,16.7333,75.0667,26.65,29,10,4.74,IN,1708230378
276,shizunai-furukawacho,42.3339,142.3669,4.91,74,96,4.31,JP,1708230378
277,korla,41.7597,86.1469,-7.94,37,32,0.54,CN,1708230379
278,smithers,54.7804,-127.1743,-1.82,50,75,1.54,CA,1708230259
279,parabel',58.6978,81.4825,-30.61,98,89,1.79,RU,1708230384
280,kudymkar,59.0173,54.656,-16.66,92,97,5.05,RU,1708230384
281,illizi,26.4833,8.4667,11.89,23,39,1.8,DZ,1708230385
282,embi,48.8264,58.1442,-13.84,70,100,4.96,KZ,1708230385
283,medvezh'yegorsk,62.9167,34.4667,-5.1,88,91,5.81,RU,1708230386
284,williams lake,52.1415,-122.1445,-0.24,88,40,3.09,CA,1708230386
285,fortuna,40.5982,-124.1573,10.52,96,100,5.66,US,1708230387
286,altamira,-3.2033,-52.2064,23.21,98,98,1.37,BR,1708230387
287,brooks,50.5834,-111.8851,-10.54,86,6,2.06,CA,1708230388
288,nema,57.5067,50.5011,-11.25,90,100,6.48,RU,1708230388
289,daru,-9.0763,143.2092,30.39,69,45,1.78,PG,1708230388
290,qashar,53.3906,62.9297,-25.12,96,39,2.44,KZ,1708230389
291,anloga,5.7947,0.8973,27.64,87,34,3.45,GH,1708230189
292,thames,-37.1333,175.5333,24.04,49,100,2.99,NZ,1708230390
293,suva,-18.1416,178.4415,30.71,66,75,5.66,FJ,1708230390
294,garden city,42.3256,-83.331,-6.86,72,20,10.29,US,1708230181
295,remire-montjoly,4.9167,-52.2667,27.02,83,75,4.63,GF,1708230391
296,diss,52.3768,1.1091,11.28,97,100,5.93,GB,1708230392
297,salekhard,66.53,66.6019,-25.49,95,100,2.65,RU,1708230279
298,tokmak,47.2514,35.7058,0.73,80,89,0.42,UA,1708230393
299,cooper's town,26.8667,-77.5167,23.01,82,100,4.93,BS,1708230393
300,mar del plata,-38.0023,-57.5575,21.16,89,0,1.54,AR,1708230310
301,sechura,-5.5569,-80.8222,27.08,67,34,6.08,PE,1708230394
302,banes,20.9625,-75.7186,23.35,88,0,1.41,CU,1708230394
303,tyuratam,45.6507,63.3156,-11.88,36,100,10.91,KZ,1708230395
304,ta'izz,13.5,44.0,17.44,88,67,1.48,YE,1708230395
305,north battleford,52.7834,-108.2847,-9.95,85,0,1.03,CA,1708230396
306,pisco,-13.7,-76.2167,23.03,83,0,4.63,PE,1708230396
307,zyryanskoye,56.8306,86.6258,-22.16,94,98,1.66,RU,1708230396
308,kristiansund,63.1115,7.732,-0.64,59,44,3.6,NO,1708230397
309,quang ngai,15.1167,108.8,27.04,68,8,3.62,VN,1708230397
310,ta`u,-14.2336,-169.5144,28.17,82,61,8.54,AS,1708230398
311,saint-joseph,-21.3667,55.6167,27.21,79,93,7.34,RE,1708230398
312,heber springs,35.4915,-92.0313,0.53,46,6,1.73,US,1708230399
313,talara,-4.5772,-81.2719,25.39,83,40,4.95,PE,1708230399
314,sona,45.4388,10.8255,15.14,100,21,1.54,IT,1708230399
315,port nelson,23.6333,-74.8333,25.2,82,6,5.51,BS,1708230400
316,rawai,7.7797,98.3253,31.06,69,73,6.64,TH,1708230400
317,bereket,39.2446,55.5154,-4.05,96,99,3.66,TM,1708230401
318,salalah,17.0151,54.0924,23.05,73,75,1.54,OM,1708230401
319,quillacollo,-17.4,-66.2833,16.04,80,100,2.57,BO,1708230402
320,saint-pierre,-21.3393,55.4781,27.82,61,0,12.86,RE,1708230402
321,broome,42.2506,-75.833,-7.43,82,40,3.09,US,1708230403
322,itoman,26.1247,127.6694,24.21,60,75,6.69,JP,1708230403
323,arraial do cabo,-22.9661,-42.0278,24.58,89,19,6.41,BR,1708230326
324,farim,12.4839,-15.2217,20.92,88,1,1.54,GW,1708230404
325,glace bay,46.1969,-59.957,-5.12,84,100,1.03,CA,1708230404
326,aldama,22.9167,-98.0667,15.83,73,100,5.04,MX,1708230405
327,ilulissat,69.2167,-51.1,-9.99,92,93,0.51,GL,1708230405
328,keflavik,64.0049,-22.5624,6.24,100,75,6.69,IS,1708230406
329,lyubashivka,47.8372,30.2598,2.51,80,100,2.71,UA,1708230407
330,cockburn town,21.4612,-71.1419,25.74,81,0,7.43,TC,1708230407
331,kapuskasing,49.4169,-82.4331,-11.95,85,100,3.09,CA,1708230407
332,van,38.4924,43.3831,-0.36,100,75,0.0,TR,1708230408
333,tindouf,27.6711,-8.1474,15.94,28,0,6.04,DZ,1708230409
334,strezhevoy,60.7333,77.5889,-32.8,99,22,1.34,RU,1708230409
335,dubovskoye,47.4092,42.7575,-2.51,79,97,5.44,RU,1708230410
336,san patricio,28.017,-97.5169,8.92,64,98,6.0,US,1708230410
337,sultanah,24.4926,39.5857,12.25,26,0,1.54,SA,1708230410
